t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4
0.0,0.10000013251717543,0.20000002487907145,-4.59976012033504,5.29909109237598e-05,9.948873143427201e-06,0.047928039966016245,0.9999986892984463,0.0002987393300595203,-0.0015912206655072975,1.3152794920166975e-05,0.11950136529871316,-0.6364874964780134,0.005261117202082099,0.2581901610644271,1.8476413514372414,0.28640491370269566,2.610572042721093
0.01,0.10000193113388205,0.20000040145265613,-4.599008383922583,0.0003775495694506253,8.64337132385098e-05,0.10236539804425024,0.9999771167927992,0.0017660799606589392,-0.006530008241271853,7.645065063965586e-05,0.4675003505151316,-1.3390336975078538,0.01948516982794583,0.00031959209599093384,1.090857174831475,0.0003183953048998536,3.2298136537073376
0.02,0.10001002391143651,0.20000249586745822,-4.597736442872263,0.0013773720102750577,0.0003732790056762712,0.1519763781200321,0.99987554255975,0.004348146864022501,-0.015164398221575268,0.0001844892201052796,0.5654297861000813,-2.11495109433043,0.02347419203865612,0.0005448093774228142,2.0864260373955488,0.0005476365181686796,2.6862761742713883
0.03,0.10003370305579275,0.20000899846129866,-4.595993909358711,0.0035695011412554757,0.000976750299240475,0.1964953867085525,0.9996002113981721,0.0072037394244405945,-0.027339117539270427,0.00031010193251528116,0.5771001662934646,-2.756105198606373,0.031203067436879898,0.055202020251509464,1.9930125902841809,0.6025010615997095,2.607950450924518
0.04,0.10008916895127375,0.2000237921452437,-4.593854242536543,0.007827124751004985,0.002039612680242329,0.23142544635317458,0.9990566388987429,0.01003604685836356,-0.04224778000994951,0.0004848917763185159,0.5572416243936693,-3.2109590709418097,0.051270289399688175,0.06476774307844113,1.5287365884140072,1.6384399069069517,2.972691787413809
0.05,0.1002002513382228,0.200051728414441,-4.59140251700107,0.014767832266505465,0.00360823404990246,0.25893268758233856,0.9981793401361918,0.012708759459426776,-0.058956866392433194,0.000761750263386508,0.5161878923016269,-3.4808684131576717,0.08192627517598321,0.10296221485544313,1.0669474402356864,2.5410101356650143,3.238822192553192
0.06,0.10039603604054248,0.20009789387843632,-4.588703658138823,0.0248179674010405,0.005684151558292995,0.2808787607084896,0.9969473459881768,0.015132434179597087,-0.07658715630632654,0.0011858548988147536,0.46291756120056415,-3.586356271436404,0.12065935466930926,0.1750191116873609,0.6756351527741925,3.262068432578568,3.41310906396209
0.07,0.10070872024990149,0.20016720317235126,-4.585804940210887,0.03817100333635927,0.008232694981309734,0.2989291583945984,0.9953866864478258,0.017258938877608525,-0.09436249006920527,0.0017871595273086715,0.4050696431044675,-3.547575726952431,0.16264812039372287,0.37143026858225764,0.44746374786005383,3.721856545570696,3.4111375798059815
0.08,0.10117013779913596,0.20026389559740906,-4.582732445102262,0.05455500022601824,0.01115460118663995,0.3156511786704699,0.9935673538999512,0.019092517259143543,-0.11159201014968094,0.002571443118590485,0.35530354155205707,-3.3773079649887223,0.20085327663623878,0.771213281382748,0.422195191056403,3.816111646845994,3.1224331026632197
0.09,0.10181114603584543,0.20039168052854572,-4.579501966350173,0.07406261783439522,0.01444500965910929,0.3305381222729057,0.991608982824255,0.020625253373289503,-0.12756886265071768,0.003522696060706656,0.2952034256204451,-3.0542973038700687,0.2329795264306854,1.2782245852034717,0.49352133552784194,3.899921557520133,2.702839369894869
