t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2
0,8.76590076268825,-3.9562884021714497,1.280370429906487,0.8153911646020423,-0.4726008972160593,-0.3321080769042781,0.038598780997729856,-10.663950024957332,-8.772570898243414,2.518139318625831,-0.6123671596981576,0.860684388892443,0.2999885638985667,-18.389430059249108,24.377358203867097,0.9460721127732687,-0.14153249244171578,-0.11370288923927076,0.0001379773232058698,6.87921298467858,6.879080919336353,6.8791341013734035,6.879261475486643,1.0,0,0,1.0,0,0,1.0,0,0
0.0242692,8.501647426011154,-4.162037955052828,1.3417647591480473,0.8151196184288783,-0.48024623297137814,-0.32214372994204066,0.03416109817020386,-11.110247171483305,-8.180951398825842,2.5410997520366614,-0.6158020430694167,0.8579249083182355,0.29999191250074925,-17.73371490589915,24.882778792423775,0.8884285005625242,-0.1724395010717333,-0.03447415510064236,4.932586475229326e-05,6.878944649639438,6.878918368571731,6.879236808883046,6.879261412871351,0.9999044389807416,9.556101925853074e-05,0.046200247489094654,0.9999145726752765,8.542732472350833e-05,0.046480417688475065,0.9999791530871448,2.0846912855139786e-05,0.04294672248727232
0.0485384,8.226755422145414,-4.353279842723518,1.4037001217520877,0.8146740532475051,-0.48784321115898355,-0.31214152118990673,0.02971294399016628,-11.540630621884327,-7.577065735326971,2.5626612198698626,-0.6199870154708843,0.8570882474211474,0.2999931096010736,-17.03074991702039,25.346740224468952,0.8091706592482572,-0.19088150273275573,5.517214617545179,1.5524758000400114e-05,6.860435282164923,6.860424476733761,6.879251018810702,6.879261296400092,0.9998046145965732,9.982438416834439e-05,0.04620942501429869,0.9998324324867558,8.214018852069569e-05,0.04642613697095664,0.9999543009180278,2.4852169116994966e-05,0.04405654418733766
0.0728077,7.9416227943447275,-4.529729433419788,1.4661349774226908,0.8143020631247804,-0.4954161830954317,-0.3014259172869364,0.0248469696172692,-11.95395365944855,-6.961920089188468,2.5822991616174593,-0.6246195608907121,0.9909867495850772,0.2999934863748602,-16.177199771469898,25.78585937169112,0.7529744261872584,-0.25594354383724793,19.43749745879819,6.038731331278006e-06,6.814030311525057,6.814024573340274,6.8792555922579535,6.879261125125872,0.9997000352391334,0.00010457935743977913,0.04628649932999918,0.9997533026667,7.912982005577218e-05,0.04634182039055588,0.9999266550220324,2.7645895995423984e-05,0.044467414362358695
0.0970769,7.64670039077143,-4.691123495539058,1.529025431166329,0.8148057561282259,-0.5030118711720796,-0.28764896116105654,0.01813042294280324,-12.346561699693732,-6.33611736331673,2.6005732645522257,-0.6308311113802205,1.4627196757017502,0.29999363293016684,-15.198283014072073,26.48148890740571,0.8769884991697683,-0.3138903253872979,3.0138109663966817,-1.6876880987219427e-06,6.868770608103479,6.86876745419181,6.8792576788864475,6.879260890179513,0.9995901708425663,0.00010986439656713199,0.04639557825959645,0.9996769287556015,7.637391109852736e-05,0.046258324757572605,0.9998966606052565,2.9994416775849033e-05,0.044660365064395434
0.121346,7.342528000085867,-4.837126948236553,1.592392486866779,0.8159347340398424,-0.5105616399481796,-0.2710769726563061,0.009726065109833036,-12.715412192581248,-5.693432250343905,2.621857092460677,-0.6384489851311257,1.5358625208110264,0.299993591971291,-14.024345839303889,27.060055728068754,0.9747891116791356,-0.3357823412002686,5.404283744260922,-4.517246436428482e-06,6.860796501095826,6.860794865109807,6.879258785284916,6.879260574857313,0.9994744224285453,0.00011574841402095886,0.04653190254766855,0.9996030811860682,7.384756953339198e-05,0.04618090376771879,0.9998645373860547,3.212321920177708e-05,0.044765655759309984
0.145615,7.029745067448261,-4.967361803735041,1.656304757431647,0.8170019085566553,-0.5179830032325737,-0.25337927401501126,0.0006581045285464168,-13.055772144456249,-5.036705771200156,2.64551446507121,-0.6465981610571147,1.6670202786267592,0.29999348234123785,-12.74253837904946,27.630002135790875,1.0832616371426185,-0.3675023391003831,6.909199224232466,-7.733936247029728e-06,6.855773669536174,6.855773230670493,6.879259443742893,6.879260145562408,0.9993521049479908,0.000122317480554597,0.04669711656897668,0.9995315522762932,7.152890977492006e-05,0.04611049565630739,0.999830405078132,3.4132307922597974e-05,0.04482924387710005
0.169885,6.7090730632138875,-5.081489841225847,1.7208225065851641,0.8180749761761247,-0.5252365248985773,-0.23407695143218027,-0.009375865783576043,-13.365023627495397,-4.366147136594297,2.6718043814003267,-0.6555171566297713,1.834701163168557,0.29999329464462804,-11.323737841704684,28.187415300415182,1.2074398480565098,-0.4044358671577138,7.459257564926528,-1.1122433284033853e-05,6.853932940005803,6.853933625019541,6.879259860842875,6.8792595539918695,0.9992224305069617,0.0001296744410291519,0.04689569949421933,0.9994621538321257,6.939844416753374e-05,0.04604690079543267,0.9997943287139477,3.607636418440297e-05,0.044870550568832414
0.194154,6.38130624629302,-5.179178598315004,1.7860142549261508,0.8191130243546643,-0.5322609879883543,-0.21290869487993402,-0.020542185093556275,-13.63984192640288,-3.6820605185758852,2.7011080062028987,-0.6653325001659056,2.015731535273788,0.299993024711834,-9.75312202248216,28.718562684563764,1.3426090445317709,-0.4420171737880321,7.154280553736794,-1.4348408230726679e-05,6.854941464142081,6.854943348380923,6.8792601308428605,6.879258734449898,0.9990844881103307,0.0001379423966309558,0.04713434067533367,0.9993947144700006,6.743936212516391e-05,0.04598960217591753,0.9997563391521663,3.7989561781327246e-05,0.0448988994814635
0.218423,6.047324691668757,-5.260106672880853,1.8519567971014188,0.8199884575995754,-0.5389830046642017,-0.18983170527581308,-0.032865991816745356,-13.876542602515686,-2.985083367182241,2.733692082139125,-0.6760599127470179,2.1893603528223275,0.29999267648714023,-8.035457385549945,29.209151117939314,1.4782086280433535,-0.47416161135079954,5.29946898364149,-1.833314873543788e-05,6.861115179296229,6.861118498793864,6.879260303078405,6.879257606907828,0.9989372193357343,0.0001472687745963031,0.047422073608958185,0.999329077225354,6.563724464657493e-05,0.04593801875680832,0.9997164437610175,3.989539114883053e-05,0.04491921142958188
0.242692,5.708097593842588,-5.323972106619287,1.9187307020302196,0.8204997763557849,-0.5453349479327566,-0.1650987024028085,-0.04617715496327524,-14.071556895544212,-2.2762000165628065,2.769567054367207,-0.6875674457948725,2.3179743380237086,0.2999922315558976,-6.078102374124821,29.446840944497428,1.5439410584266064,-0.5626239792644967,29.211253637072343,-2.7305584144788815e-05,6.781398956158263,6.781404171089206,6.879260404742654,6.879256118201571,0.9987793884050646,0.00015783093066971398,0.04777078134428393,0.9992650974656824,6.39797596716094e-05,0.04589159262769468,0.9996746325879291,4.181117308845256e-05,0.04493428113578903
0.266961,5.364698067557629,-5.370559916583034,1.9863927434576714,0.8209592763134149,-0.5510408000039607,-0.13603419044694964,-0.06224628812762016,-14.219067706761567,-1.5615481189569043,2.807037301490691,-0.7012218916207529,3.026908715145137,0.299991568870635,-3.7652686430032034,29.910340002998716,1.7836270340912848,-0.6597094905186522,8.66727612903379,-4.765417070024736e-05,6.849866495095191,6.849873940066764,6.879260431981081,6.879254607251311,0.9986095469532283,0.0001698414518363987,0.048195920791114594,0.999202641564459,6.245590122331783e-05,0.04584980506161701,0.9996308822707449,4.375031718410095e-05,0.044945791610337356
0.291231,5.018380873132334,-5.399660918147672,2.055033811112535,0.8209844277850423,-0.5558123042703492,-0.10219645025309837,-0.0813211845202424,-14.310447844474474,-0.835647460157201,2.850324540584931,-0.717232527198145,3.237256757040809,0.2999904123410234,-1.2053813607518713,30.12985484943581,1.9520012727966491,-0.6819229960033311,-0.05461839246438541,-6.22767627529638e-05,6.878927044479532,6.878935637243429,6.879260355292575,6.879253879938612,0.9984259910384625,0.0001835559147658006,0.0487175356262479,0.9991415846537519,6.10569107070844e-05,0.04581221566614853,0.9995851586915196,4.5723579225252827e-05,0.04495480413913058
0.3155,4.670594745035762,-5.411071476439967,2.1247789696624575,0.8197308813699882,-0.5597632960138602,-0.06713857691215085,-0.10098882974722839,-14.339701511393237,-0.10441934698456105,2.897698091328884,-0.733782267254589,3.2359312111904943,0.29998890093249025,1.3992816700366038,30.104042492433695,1.99815465749485,-0.681336871577811,-0.13248177029291774,-7.28547681803761e-05,6.879175148910377,6.879183569347533,6.879260140140512,6.879254196765475,0.9982267076670228,0.00019928337143973083,0.04936157237269297,0.9990818084604687,5.9776193283232225e-05,0.04577846182781212,0.9995374189879773,4.773970354224309e-05,0.04496201602656122
0.339769,4.3228656615227745,-5.404734285021147,2.1956926522085123,0.8170239125949336,-0.5629670547344211,-0.031973327618890456,-0.12048952432248666,-14.305742034970566,0.6261823203853523,2.9461917487769034,-0.7503177825276777,3.232715981797417,0.29998713280400313,3.995984269922261,29.89436304405663,1.937731340537639,-0.6800189252303209,-0.15032154218293928,-3.42651175017461e-05,6.879224606485372,6.8792303896523705,6.879259711594935,6.879255093441931,0.9980093074587071,0.0002174002083156719,0.05016147850704246,0.9990232007337113,5.86077267573127e-05,0.04574821615838616,0.9994876135195164,4.980546846097008e-05,0.04496790412806623
0.364038,3.976726302041446,-5.380718731434233,2.2677706660238686,0.8128672395033976,-0.5654193055041669,0.0032343118251006724,-0.13977623793190422,-14.20876260866518,1.3516952308337993,2.9932189793778288,-0.766821312269281,3.229067795033527,0.2999863012162858,6.5670346248029965,29.502547259204423,1.7711571873051615,-0.6783291092003003,-0.15863832013131382,4.790911174758798e-05,6.879243012868304,6.879244389377873,6.879258923654872,6.879255918235504,0.997770935717198,0.00023837174150905362,0.05116009379893526,0.9989656546584113,5.754607530007905e-05,0.04572118679507057,0.9994356881700244,5.1925349492090075e-05,0.0449728053006246
0.388308,3.6336994090826007,-5.339202051858057,2.340946125921163,0.8072686756980579,-0.5671160359801316,0.03842764322274447,-0.15880806246714632,-14.049385792486326,2.0676990773156105,3.036203585001628,-0.7832838314918023,3.225217766545631,0.29998746393311804,9.09524694923668,28.93123432920802,1.4995383574835848,-0.6767361154850187,-0.16431265130837075,9.089876740878343e-05,6.879251548805491,6.879249614954381,6.879257478498889,6.879256321791908,0.997508156477584,0.00026277923961401427,0.05241123546478507,0.9989090681724596,5.658648595166848e-05,0.0456971184475585,0.9993815873734164,5.410079660790446e-05,0.04497696435361757
0.412577,3.2952875380612126,-5.2804680420632195,2.4150899138895894,0.8002388995785421,-0.5680540900530331,0.07355145498513131,-0.17754558648839894,-13.82865123207227,2.7698376039039134,3.0725962131524156,-0.7997076899974186,3.2212300264590286,0.29998966997541443,11.563787154853904,28.184224346527046,1.1246838277177267,-0.675146563007873,-0.16911968263262625,8.636015032776177e-05,6.879255832014264,6.8792514928081285,6.879254742609189,6.8792561455702135,0.9972168008509318,0.00029135562665227237,0.05397984905841927,0.9988533433319879,5.572484047164719e-05,0.04567578921453191,0.9993252583520257,5.632902139071918e-05,0.044980564205669496
